customerID,gender,Partner,Dependents,tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,Yes,No,1,No,DSL,Month-to-month,29.85,29.85,No
5575-GNVDE,Male,No,No,34,Yes,DSL,One year,56.95,1889.5,No
3668-QPYBK,Male,No,No,2,Yes,DSL,Month-to-month,53.85,108.15,Yes
7795-CFOCW,Male,No,No,45,No,DSL,One year,42.3,1840.75,No
9237-HQITU,Female,No,No,2,Yes,Fiber optic,Month-to-month,70.7,151.65,Yes
9305-CDSKC,Female,No,No,8,Yes,Fiber optic,Month-to-month,99.65,820.5,Yes
1452-KIOVK,Male,No,Yes,22,Yes,Fiber optic,Month-to-month,89.1,1949.4,No
6713-OKOMC,Female,No,No,10,No,DSL,Month-to-month,29.75,301.9,No
7892-POOKP,Female,Yes,No,28,Yes,Fiber optic,Month-to-month,104.8,3046.05,Yes
6388-TABGU,Male,No,Yes,62,Yes,DSL,One year,56.15,3487.95,No
9763-GRSKD,Male,Yes,Yes,13,Yes,DSL,Month-to-month,49.95,587.45,No
7469-LKBCI,Male,No,No,16,Yes,No,Two year,18.95,326.8,No
8091-TTVAX,Male,Yes,No,58,Yes,Fiber optic,One year,100.35,5681.1,No
0280-XJGEX,Male,No,No,49,Yes,Fiber optic,Month-to-month,103.7,5036.3,Yes
5129-JLPIS,Male,No,No,25,Yes,Fiber optic,Month-to-month,105.5,2686.05,No
3655-SNQYZ,Female,Yes,Yes,69,Yes,Fiber optic,Two year,113.25,7895.15,No
8191-XWSZG,Female,No,No,52,Yes,No,One year,20.65,1022.95,No
9959-WOFKT,Male,No,Yes,71,Yes,Fiber optic,Two year,106.7,7382.25,No
4190-MFLUW,Female,Yes,Yes,10,Yes,DSL,Month-to-month,55.2,528.35,Yes
4183-MYFRB,Female,No,No,21,Yes,Fiber optic,Month-to-month,90.05,1862.9,No
8779-QRDMV,Male,No,No,1,No,DSL,Month-to-month,39.65,39.65,Yes
1680-VDCWW,Male,Yes,No,12,Yes,No,One year,19.8,202.25,No
1066-JKSGK,Male,No,No,1,Yes,No,Month-to-month,20.15,20.15,Yes
3638-WEABW,Female,Yes,No,58,Yes,DSL,Two year,59.9,3505.1,No
6322-HRPFA,Male,Yes,Yes,49,Yes,DSL,Month-to-month,59.6,2970.3,No
6865-JZNKO,Female,No,No,30,Yes,DSL,Month-to-month,55.3,1530.6,No
6467-CHFZW,Male,Yes,Yes,47,Yes,Fiber optic,Month-to-month,99.35,4749.15,Yes
8665-UTDHZ,Male,Yes,Yes,1,No,DSL,Month-to-month,30.2,30.2,Yes
5248-YGIJN,Male,Yes,No,72,Yes,DSL,Two year,90.25,6369.45,No
8773-HHUOZ,Female,No,Yes,17,Yes,DSL,Month-to-month,64.7,1093.1,Yes
3841-NFECX,Female,Yes,No,71,Yes,Fiber optic,Two year,96.35,6766.95,No
4929-XIHVW,Male,Yes,No,2,Yes,Fiber optic,Month-to-month,95.5,181.65,No
6827-IEAUQ,Female,Yes,Yes,27,Yes,DSL,One year,66.15,1874.45,No
7310-EGVHZ,Male,No,No,1,Yes,No,Month-to-month,20.2,20.2,No
3413-BMNZE,Male,No,No,1,Yes,DSL,Month-to-month,45.25,45.25,No
6234-RAAPL,Female,Yes,Yes,72,Yes,Fiber optic,Two year,99.9,7251.7,No
6047-YHPVI,Male,No,No,5,Yes,Fiber optic,Month-to-month,69.7,316.9,Yes
6572-ADKRS,Female,No,No,46,Yes,Fiber optic,Month-to-month,74.8,3548.3,No
5380-WJKOV,Male,No,No,34,Yes,Fiber optic,Month-to-month,106.35,3549.25,Yes
8168-UQWWF,Female,No,No,11,Yes,Fiber optic,Month-to-month,97.85,1105.4,Yes
8865-TNMNX,Male,Yes,Yes,10,Yes,DSL,One year,49.55,475.7,No
9489-DEDVP,Female,Yes,Yes,70,Yes,DSL,Two year,69.2,4872.35,No
9867-JCZSP,Female,Yes,Yes,17,Yes,No,One year,20.75,418.25,No
4671-VJLCL,Female,No,No,63,Yes,DSL,Two year,79.85,4861.45,No
4080-IIARD,Female,Yes,No,13,Yes,DSL,Month-to-month,76.2,981.45,No
3714-NTNFO,Female,No,No,49,Yes,Fiber optic,Month-to-month,84.5,3906.7,No
5948-UJZLF,Male,No,No,2,Yes,DSL,Month-to-month,49.25,97,No
7760-OYPDY,Female,No,No,2,Yes,Fiber optic,Month-to-month,80.65,144.15,Yes
7639-LIAYI,Male,No,No,52,Yes,DSL,Two year,79.75,4217.8,No
2954-PIBKO,Female,Yes,Yes,69,Yes,DSL,Two year,64.15,4254.1,No
8012-SOUDQ,Female,No,No,43,Yes,Fiber optic,Month-to-month,90.25,3838.75,No
9420-LOJKX,Female,No,No,15,Yes,Fiber optic,Month-to-month,99.1,1426.4,Yes
6575-SUVOI,Female,Yes,No,25,Yes,DSL,Month-to-month,69.5,1752.65,No
7495-OOKFY,Female,Yes,No,8,Yes,Fiber optic,Month-to-month,80.65,633.3,Yes
4667-QONEA,Female,Yes,Yes,60,Yes,DSL,One year,74.85,4456.35,No
1658-BYGOY,Male,No,No,18,Yes,Fiber optic,Month-to-month,95.45,1752.55,Yes
8769-KKTPH,Female,Yes,Yes,63,Yes,Fiber optic,One year,99.65,6311.2,No
5067-XJQFU,Male,Yes,Yes,66,Yes,Fiber optic,One year,108.45,7076.35,No
3957-SQXML,Female,Yes,Yes,34,Yes,No,Two year,24.95,894.3,No
5954-BDFSG,Female,No,No,72,Yes,Fiber optic,Two year,107.5,7853.7,No
0434-CSFON,Female,Yes,No,47,Yes,Fiber optic,Month-to-month,100.5,4707.1,No
1215-FIGMP,Male,No,No,60,Yes,Fiber optic,Month-to-month,89.9,5450.7,No
0526-SXDJP,Male,Yes,No,72,No,DSL,Two year,42.1,2962,No
0557-ASKVU,Female,Yes,Yes,18,Yes,DSL,One year,54.4,957.1,No
5698-BQJOH,Female,No,No,9,Yes,Fiber optic,Month-to-month,94.4,857.25,Yes
5122-CYFXA,Female,No,No,3,Yes,DSL,Month-to-month,75.3,244.1,No
8627-ZYGSZ,Male,Yes,No,47,Yes,Fiber optic,One year,78.9,3650.35,No
3410-YOQBQ,Female,No,No,31,Yes,DSL,Two year,79.2,2497.2,No
3170-NMYVV,Female,Yes,Yes,50,Yes,No,Two year,20.15,930.9,No
7410-OIEDU,Male,No,No,10,Yes,Fiber optic,Month-to-month,79.85,887.35,No
2273-QCKXA,Male,No,No,1,Yes,DSL,Month-to-month,49.05,49.05,No
0731-EBJQB,Female,Yes,Yes,52,Yes,No,One year,20.4,1090.65,No
1891-QRQSA,Male,Yes,Yes,64,Yes,Fiber optic,Two year,111.6,7099,No
8028-PNXHQ,Male,Yes,Yes,62,Yes,No,Two year,24.25,1424.6,No
5630-AHZIL,Female,No,Yes,3,Yes,DSL,Month-to-month,64.5,177.4,No
2673-CXQEU,Female,No,No,56,Yes,Fiber optic,One year,110.5,6139.5,No
6416-JNVRK,Female,No,No,46,Yes,DSL,One year,55.65,2688.85,No
5590-ZSKRV,Female,Yes,Yes,8,Yes,DSL,Month-to-month,54.65,482.25,No
0191-ZHSKZ,Male,No,No,30,Yes,DSL,Month-to-month,74.75,2111.3,No
3887-PBQAO,Female,Yes,Yes,45,Yes,No,One year,25.9,1216.6,No
5919-TMRGD,Female,No,Yes,1,Yes,Fiber optic,Month-to-month,79.35,79.35,Yes
8108-UXRQN,Female,Yes,Yes,11,No,DSL,Month-to-month,50.55,565.35,No
9191-MYQKX,Female,Yes,No,7,Yes,Fiber optic,Month-to-month,75.15,496.9,Yes
9919-YLNNG,Female,No,No,42,Yes,Fiber optic,Month-to-month,103.8,4327.5,No
0318-ZOPWS,Female,Yes,No,49,Yes,No,Two year,20.15,973.35,No
4445-ZJNMU,Male,No,No,9,Yes,Fiber optic,Month-to-month,99.3,918.75,No
4808-YNLEU,Female,Yes,No,35,Yes,DSL,One year,62.15,2215.45,No
1862-QRWPE,Female,Yes,Yes,48,Yes,No,Two year,20.65,1057,No
2796-NNUFI,Female,Yes,Yes,46,Yes,No,Two year,19.95,927.1,No
3016-KSVCP,Male,Yes,No,29,No,DSL,Month-to-month,33.75,1009.25,No
4767-HZZHQ,Male,Yes,Yes,30,Yes,Fiber optic,Month-to-month,82.05,2570.2,No
2424-WVHPL,Male,No,No,1,Yes,Fiber optic,Month-to-month,74.7,74.7,No
7233-PAHHL,Male,Yes,Yes,66,Yes,DSL,Two year,84,5714.25,No
6067-NGCEU,Female,No,No,65,Yes,Fiber optic,Month-to-month,111.05,7107,No
9848-JQJTX,Male,No,No,72,Yes,Fiber optic,Two year,100.9,7459.05,No
8637-XJIVR,Female,No,No,12,Yes,Fiber optic,Month-to-month,78.95,927.35,Yes
9803-FTJCG,Male,Yes,Yes,71,Yes,DSL,One year,66.85,4748.7,No
0278-YXOOG,Male,No,No,5,Yes,No,Month-to-month,21.05,113.85,Yes
3212-KXOCR,Male,No,No,52,Yes,No,Two year,21,1107.2,No
4598-XLKNJ,Female,Yes,No,25,Yes,Fiber optic,Month-to-month,98.5,2514.5,Yes
6380-ARCEH,Male,No,No,1,Yes,No,Month-to-month,20.2,20.2,No
3679-XASPY,Female,Yes,Yes,1,Yes,No,Month-to-month,19.45,19.45,No
7123-WQUHX,Male,No,No,38,Yes,Fiber optic,One year,95,3605.6,No
5386-THSLQ,Female,Yes,No,66,No,DSL,One year,45.55,3027.25,No
3192-NQECA,Male,Yes,No,68,Yes,Fiber optic,Two year,110,7611.85,Yes
6180-YBIQI,Male,No,No,5,No,DSL,Month-to-month,24.3,100.2,No
6728-DKUCO,Female,Yes,Yes,72,Yes,Fiber optic,One year,104.15,7303.05,No
9750-BOOHV,Female,No,No,32,No,DSL,One year,30.15,927.65,No
8597-CWYHH,Male,No,No,43,Yes,Fiber optic,One year,94.35,3921.3,No
2848-YXSMW,Male,Yes,Yes,72,Yes,No,Two year,19.4,1363.25,No
0486-HECZI,Male,Yes,No,55,Yes,Fiber optic,Month-to-month,96.75,5238.9,Yes
4549-ZDQYY,Female,No,No,52,Yes,DSL,One year,57.95,3042.25,No
5712-AHQNN,Female,No,No,43,Yes,Fiber optic,Month-to-month,91.65,3954.1,No
4846-WHAFZ,Female,Yes,No,37,Yes,Fiber optic,Month-to-month,76.5,2868.15,Yes
5256-SKJGO,Female,Yes,Yes,64,No,DSL,Two year,54.6,3423.5,No
3071-VBYPO,Male,Yes,Yes,3,Yes,Fiber optic,Month-to-month,89.85,248.4,No
9560-BBZXK,Female,No,No,36,No,DSL,Two year,31.05,1126.35,No
